Region, Date, Frequency, Value
India, 04-02-2018, D,4.87
India, 05-02-2018, D,4.92
India, 06-02-2018, D,4.88
India, 07-02-2018, D,4.88
India, 08-02-2018, D,4.97
India, 09-02-2018, D,5.13
India, 10-02-2018, D,5.2
India, 11-02-2018, D,5.31
India, 12-02-2018, D,5.29
India, 13-02-2018, D,5.28
India, 14-02-2018, D,5.35
India, 15-02-2018, D,5.37
India, 16-02-2018, D,5.51
India, 17-02-2018, D,5.6
India, 18-02-2018, D,5.57
India, 19-02-2018, D,5.7
India, 20-02-2018, D,5.89
India, 21-02-2018, D,5.79
India, 22-02-2018, D,5.78
India, 23-02-2018, D,5.8
India, 24-02-2018, D,5.78
India, 25-02-2018, D,5.88
India, 26-02-2018, D,5.89
India, 27-02-2018, D,5.87
India, 28-02-2018, D,5.9
India, 01-03-2018, D,5.91
India, 02-03-2018, D,5.91
India, 03-03-2018, D,5.98
India, 04-03-2018, D,5.95
India, 05-03-2018, D,5.96
India, 06-03-2018, D,5.96
India, 07-03-2018, D,5.95
India, 08-03-2018, D,6.14
India, 09-03-2018, D,6.12
India, 10-03-2018, D,6.13
India, 11-03-2018, D,6.03
India, 12-03-2018, D,6.06
India, 13-03-2018, D,5.98
India, 14-03-2018, D,6.16
India, 15-03-2018, D,6.13
India, 16-03-2018, D,6.18
India, 17-03-2018, D,6.16
India, 18-03-2018, D,6.07
India, 19-03-2018, D,5.97
India, 20-03-2018, D,6.11
India, 21-03-2018, D,6.11
India, 22-03-2018, D,6.11
India, 23-03-2018, D,6.18
India, 24-03-2018, D,6.2
India, 25-03-2018, D,6.22
India, 26-03-2018, D,6.22
India, 27-03-2018, D,6.3
India, 28-03-2018, D,6.26
India, 29-03-2018, D,6.22
India, 30-03-2018, D,6.25
India, 31-03-2018, D,6.24
India, 01-04-2018, D,6.23
India, 02-04-2018, D,6.26
India, 03-04-2018, D,6.29
India, 04-04-2018, D,6.3
India, 05-04-2018, D,6.34
India, 06-04-2018, D,6.31
India, 07-04-2018, D,6.19
India, 08-04-2018, D,6.26
India, 09-04-2018, D,6.36
India, 10-04-2018, D,6.4
India, 11-04-2018, D,6.38
India, 12-04-2018, D,6.34
India, 13-04-2018, D,6.18
India, 14-04-2018, D,6.22
India, 15-04-2018, D,6.18
India, 16-04-2018, D,6.19
India, 17-04-2018, D,6.19
India, 18-04-2018, D,6.2
India, 19-04-2018, D,6.15
India, 20-04-2018, D,6.26
India, 21-04-2018, D,6.23
India, 22-04-2018, D,6.21
India, 23-04-2018, D,6.14
India, 24-04-2018, D,6.1
India, 25-04-2018, D,6.07
India, 26-04-2018, D,5.94
India, 27-04-2018, D,5.92
India, 28-04-2018, D,5.85
India, 29-04-2018, D,5.79
India, 30-04-2018, D,5.8
India, 01-05-2018, D,5.8
India, 02-05-2018, D,5.82
India, 03-05-2018, D,5.79
India, 04-05-2018, D,5.81
India, 05-05-2018, D,5.73
India, 06-05-2018, D,5.72
India, 07-05-2018, D,5.62
India, 08-05-2018, D,5.56
India, 09-05-2018, D,5.37
India, 10-05-2018, D,5.3
India, 11-05-2018, D,5.3
India, 12-05-2018, D,5.26
India, 13-05-2018, D,5.27
India, 14-05-2018, D,5.18
India, 15-05-2018, D,5.07
India, 16-05-2018, D,5.07
India, 17-05-2018, D,5.04
India, 18-05-2018, D,5.02
India, 19-05-2018, D,5.04
India, 20-05-2018, D,4.91
India, 21-05-2018, D,4.89
India, 22-05-2018, D,4.92
India, 23-05-2018, D,4.97
India, 24-05-2018, D,5.02
India, 25-05-2018, D,5.16
India, 26-05-2018, D,5.22
India, 27-05-2018, D,5.19
India, 28-05-2018, D,5.29
India, 29-05-2018, D,5.28
India, 30-05-2018, D,5.21
India, 31-05-2018, D,5.2
India, 01-06-2018, D,5.2
India, 02-06-2018, D,5.22
India, 03-06-2018, D,5.2
India, 04-06-2018, D,5.22
India, 05-06-2018, D,5.26
India, 06-06-2018, D,5.29
India, 07-06-2018, D,5.3
India, 08-06-2018, D,5.47
India, 09-06-2018, D,5.53
India, 10-06-2018, D,5.59
India, 11-06-2018, D,5.6
India, 12-06-2018, D,5.63
India, 13-06-2018, D,5.71
India, 14-06-2018, D,5.78
India, 15-06-2018, D,5.81
India, 16-06-2018, D,5.91
India, 17-06-2018, D,5.86
India, 18-06-2018, D,5.79
India, 19-06-2018, D,5.76
India, 20-06-2018, D,5.76
India, 21-06-2018, D,5.69
